ano 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 MÉDIA
Jan. 13,1 73,1 12,1 23,7 31 53,4 207,4 233,55* 259,7 53,9 0,8 5,1 1,3 74,56
Fev. 21,2 84,9 5,6 47,3 54,1 2,2 46,4 70,75* 95,1 127,5 1,2 267,2 152,7 75,09
Mar. 18,6 352,8 20 12,1 8,5 103,4 16,8 18,05* 19,3 50,2 1,2 60,2 67,3 58,91
Abr. 186 112,5 79,5 31,8 140 20,8 12,9 41,06* 70,3 45,4 12,1 38,8 68,7 71,85
Mai. 35,7 79,3 94,6 113,3 100 40,9 100,7 73,45* 46,2 76 19,3 121 35,6 76,65
Jun. 128 56,5 126,2 53 96,6 86,3 77,3 57,6 87,5 131,2 54 92,5 98,4 98,76
Jul. 79 62,8 93,9 50,1 46,9 54,2 64,9 129,4 30,6 78,8 7,6 59,6 84,3 67,83
Ago. 35,6 22 49,4 126,4 66,4 70,1 30,6 79,9 37,7 52,1 8,7 38,2 45,6 53,58
Set. 53,9 1,8 21,1 47,8 71,4 64,7 54,4 61,6 6,8 7,2 48,6 33,2 24,8 44,02
Out. 6,5 17,2 1,3 67,7 8,1 72,2 6,8 24,9 5,9 1,6 15,7 15,3 27,5 24,42
Nov. 223,8 20,8 44,1 155,1 131,6 1,7 8,7 87,4 93,9 141,9 24,2 7 84,1 82,65
Dez. 85,2 40,3 44,7 155,9 119 49,7 21,1 3,9 2,6 16,3 32,8 19,4 82,8 52,22
